image_ID,#labels
blackhole.jpg,2
blackhole(1).jpg,2
blackhole(2).jpg,2
blackhole(3).jpg,2
blackhole(4).jpg,2
planets.png,3
planets(1).png,3
planets(2).png,3
planets(3).png,3
nebulas.png,5
nebulas(1).png,5
nebulas(2).png,5
nebulas(3).png,5
galaxies.png,4
galaxies(1).png,4
galaxies(2).png,4
galaxies(3).png,4
galaxies(4).png,4
stars.png,0
stars(1).png,0
stars(2).png,0
stars(3).png,0
stars(4).png,0
meteors-asteroids.jpg,6
meteors-asteroids(1).jpg,6
meteors-asteroids(2).jpg,6
meteors-asteroids(3).jpg,6
meteors-asteroids(4).jpg,6
